com.asiainfo.aipay.bank.service.interfaces.IAlipayBusiProcSV com.asiainfo.aipay.bank.service.interfaces.IAlipayBusiProcSV
IBsPubServiceSV.doTwoDimensionalCode IOrderInterSV.qryOrderValueByOrderId
IBsPubServiceSV.doTwoDimensionalCode IOrderInterSV.saveBusiLogValue
IBsPubServiceSV.doTwoDimensionalCode IOrderInterSV.saveOrder
IBsPubServiceSV.doTwoDimensionalCode IUpgCommonWsSV.createDimensionalCode
IBsPubServiceSV.doTwoDimensionalCode IUpgOrderSV.getOrderId
IBsPubServiceSV.getContractInfo IContractInterSV.queryContarctInfos
IBsPubServiceSV.getContractPay IUpgOrderSV.qryPayMent
IBsPubServiceSV.getContractPayDetail IUpgOrderSV.qryOrderDetailList
IBsPubServiceSV.getCustStatus ICrmInterSV.queryCustomerInfo
IBsPubServiceSV.getPayCheckReport IUpgBankAccountStatSV.getPayCheckGrid
IBsPubServiceSV.getPayDetail IUpgOrderSV.getPayDetails
IBsPubServiceSV.getPaySumInfo IUpgBankCardInfoSV.queryUpgBankCardInfo
IBsPubServiceSV.getPaySumInfo IUpgDealReportSV.getReport
IBsPubServiceSV.getSignDetailReport IUpgOrderSV.getAgreementOrderValue
IBsPubServiceSV.getUpgBusiLogInfo ICmCommonInnerSV.getBeansFromSql
IBsPubServiceSV.getUpgBusiLogInfo IUpgBusiLogSV.getUpgBusiLogByOrderIdAndTime
IBsPubServiceSV.getUpgBusiLogInfo IUpgCheckSV.getUpgCheckEqualRecValues
IBsPubServiceSV.getUpgBusiLogInfo IUpgCheckSV.getUpgCheckStatusValues
IBsPubServiceSV.getUpgBusiLogInfo IUpgCheckSV.getUpgCheckUnlikeRecValues
IBsPubServiceSV.getUpgOrderInfo IOrderInterSV.gryOrderByQueryParamAndTime
IBsPubServiceSV.noticeBatchFileByBank IOrderInterSV.saveOrder
IBsPubServiceSV.noticeBatchFileByBank IUpgCheckInSV.getBatchFileMessage
IBsPubServiceSV.noticeBatchFileByBank IUpgOrderElementInsSV.addElementInsValues
IBsPubServiceSV.recharge ICommonSV.getNewSequence
IBsPubServiceSV.recharge IContractInterSV.queryContarctInfos
IBsPubServiceSV.recharge IOrderInterSV.getNewUpgSeq
IBsPubServiceSV.recharge IOrderInterSV.qryOrderValueByOrderId
IBsPubServiceSV.recharge IOrderInterSV.saveBusiLogValue
IBsPubServiceSV.recharge IOrderInterSV.saveOrder
IBsPubServiceSV.recharge IOrderInterSV.updateOrderValue
IBsPubServiceSV.recharge IUpgBusiNessInSV.saveUpgBusiNessIn
IBsPubServiceSV.recharge IUpgCheckSV.getOrderId
IBsPubServiceSV.recharge IUpgOrderSV.isOrderExistByBankSeq
IBsPubServiceSV.sendShortMsg ICommonSV.getNewSequence
IBsPubServiceSV.sendShortMsg ICrmInterSV.sendMessage
IBsPubServiceSV.sendShortMsg IOrderInterSV.getNewUpgSeq
IBsPubServiceSV.sendShortMsg IOrderInterSV.qryOrderValueByOrderId
IBsPubServiceSV.sendShortMsg IOrderInterSV.saveBusiLogValue
IBsPubServiceSV.sendShortMsg IOrderInterSV.saveOrder
IBsPubServiceSV.sendShortMsg IUpgBusiLogSV.saveBusiLog
IBsSignContractSV.batchCancelContract4Bank ICommonSV.getNewSequence
IBsSignContractSV.batchCancelContract4Bank IOrderInterSV.qryOrderValueByOrderId
IBsSignContractSV.batchCancelContract4Bank IOrderInterSV.saveBusiLogValue
IBsSignContractSV.batchCancelContract4Bank IOrderInterSV.saveOrder
IBsSignContractSV.batchCancelContract4Bank IUpgCheckInSV.getBatchPreSige
IBsSignContractSV.batchSignContract4Bank ICommonSV.getNewSequence
IBsSignContractSV.batchSignContract4Bank IOrderInterSV.qryOrderValueByOrderId
IBsSignContractSV.batchSignContract4Bank IOrderInterSV.saveBusiLogValue
IBsSignContractSV.batchSignContract4Bank IOrderInterSV.saveOrder
IBsSignContractSV.batchSignContract4Bank IUpgCheckInSV.getBatchPreSige
IBsSignContractSV.changeContract4Bank ICommonSV.getNewSequence
IBsSignContractSV.changeContract4Bank IContractInterSV.changeContracts
IBsSignContractSV.changeContract4Bank IContractInterSV.queryContarctInfos
IBsSignContractSV.changeContract4Bank IOrderInterSV.getNewUpgSeq
IBsSignContractSV.changeContract4Bank IOrderInterSV.qryOrderValueByOrderId
IBsSignContractSV.changeContract4Bank IOrderInterSV.saveBusiLogValue
